1,81,2014-04-24 09:53:09
2,28,2015-07-12 10:46:25
3,330,2014-11-07 05:13:46
4,689,2014-06-04 02:18:10
5,344,2015-06-12 02:27:20
6,402,2015-08-16 23:42:47
7,652,2014-11-16 17:05:49
8,307,2015-09-27 14:26:11
9,580,2014-12-21 06:58:05
10,466,2015-12-03 09:40:41
11,822,2015-01-21 15:30:58
12,190,2014-04-19 23:52:52
13,336,2014-07-13 16:22:06
14,845,2015-08-31 05:56:54
15,754,2014-05-22 19:56:20
16,21,2014-07-14 18:51:49
17,156,2014-11-12 01:37:44
18,508,2014-12-04 15:31:56
19,277,2015-05-21 21:14:44
20,555,2015-01-08 03:00:28
21,891,2014-07-24 12:22:54
22,897,2015-08-16 19:51:06
23,372,2014-11-25 18:39:17
24,185,2015-09-26 02:32:27
25,98,2015-06-09 23:25:33
26,769,2015-11-28 04:43:02
27,399,2015-02-17 21:07:56
28,438,2015-04-24 15:47:14
29,854,2015-08-28 11:05:03
30,410,2014-02-28 20:44:04
31,354,2015-02-08 20:05:22
32,45,2014-08-27 03:26:27
33,409,2015-03-10 09:42:00
34,825,2014-07-19 23:18:18
35,928,2014-02-14 00:19:01
36,721,2014-04-22 06:47:56
37,201,2015-02-03 23:37:21
38,755,2014-07-21 17:25:05
39,474,2015-02-10 19:21:36
40,534,2014-08-02 01:30:24
41,692,2014-08-17 08:05:41
42,60,2015-04-21 11:18:52
43,988,2015-05-09 23:03:20
44,902,2015-08-05 12:50:58
45,942,2014-11-17 20:17:51
46,833,2014-08-05 11:20:40
47,539,2015-06-29 19:08:54
48,309,2015-08-31 06:08:26
49,394,2015-06-16 12:40:39
50,123,2014-12-21 04:34:36
51,570,2015-01-18 18:48:27
52,889,2015-01-03 13:03:51
53,991,2014-08-24 16:07:51
54,583,2014-03-06 23:37:30
55,58,2014-06-28 21:08:32
56,119,2014-06-19 23:07:08
57,734,2015-02-28 20:21:18
58,667,2014-03-01 14:19:15
59,911,2015-08-05 12:31:06
60,118,2015-09-20 05:35:59
61,59,2015-03-29 09:55:16
62,274,2015-01-14 19:19:42
63,588,2015-05-17 07:46:59
64,17,2015-11-15 00:27:28
65,388,2015-10-20 14:13:22
66,574,2015-07-19 10:36:20
67,117,2015-04-12 12:57:04
68,683,2015-01-16 07:40:18
69,971,2015-05-28 09:43:43
70,526,2014-04-02 19:50:06
71,404,2014-09-01 12:32:51
72,542,2015-08-28 20:29:18
73,495,2015-09-01 13:16:48
74,9,2014-10-08 19:48:48
75,302,2014-08-12 17:18:29
76,747,2015-06-30 04:40:39
77,849,2014-09-05 06:56:37
78,244,2015-02-04 13:04:26
79,121,2014-07-17 04:09:12
80,910,2015-11-28 08:43:06
81,834,2014-07-23 06:13:01
82,712,2014-11-05 17:19:58
83,850,2014-06-05 18:34:32
84,840,2015-03-29 08:58:23
85,178,2014-10-08 13:29:15
86,129,2015-04-18 17:54:21
87,737,2014-07-07 13:05:14
88,927,2015-02-22 19:42:55
89,610,2014-07-16 09:09:22
90,975,2015-10-23 14:52:50
91,300,2014-08-12 10:10:53
92,945,2015-04-03 15:48:18
93,147,2015-11-05 12:36:09
94,149,2015-08-21 05:46:44
95,333,2014-08-30 08:38:11
96,154,2014-10-31 11:57:39
97,608,2015-09-14 22:39:46
98,234,2015-10-12 15:54:41
99,41,2015-02-03 03:40:36
100,286,2015-02-25 08:02:20
101,7,2015-02-18 20:25:17
102,343,2014-02-25 20:28:47
103,262,2015-02-06 04:26:43
104,841,2014-11-16 07:02:48
105,541,2014-12-11 21:29:52
106,867,2015-11-11 18:11:09
107,572,2015-04-13 12:25:10
108,775,2014-06-12 16:28:33
109,95,2014-04-29 02:12:00
110,803,2015-11-03 21:37:58
111,259,2014-11-29 07:41:05
112,380,2014-07-16 13:26:34
113,322,2014-07-19 18:55:45
114,990,2014-06-04 02:56:20
115,377,2014-10-23 20:08:21
116,826,2015-11-16 20:48:17
117,981,2014-09-25 20:13:52
118,355,2015-02-11 02:12:06
119,349,2015-03-25 07:49:07
120,569,2015-03-27 18:20:02
121,671,2015-02-18 10:14:55
122,51,2015-07-13 09:11:31
123,326,2015-10-15 14:57:25
124,251,2015-02-23 10:15:58
125,537,2014-12-09 21:56:51
126,176,2015-04-30 04:08:47
127,487,2014-04-11 20:30:47
128,204,2015-04-26 08:10:15
129,481,2015-07-17 10:10:24
130,165,2015-01-19 07:40:25
131,87,2014-03-02 23:20:24
132,986,2015-07-10 03:22:31
133,188,2015-03-13 22:13:01
134,731,2014-09-07 04:59:11
135,261,2015-11-11 03:19:49
