788,965
401,488
414,411
45,78
225,53
624,187
124,429
627,772
716,641
803,832
165,305
736,651
498,130
230,266
4,663
694,501
505,198
533,582
906,121
484,783
905,382
114,113
513,445
63,296
93,923
782,657
805,120
536,604
74,852
746,133
39,821
123,845
595,416
450,379
325,558
216,967
774,953
912,99
353,118
340,775
666,848
288,893
565,686
119,903
945,379
298,897
644,605
890,395
256,906
386,306
867,492
642,452
175,256
840,190
64,794
184,667
465,673
824,907
502,217
843,963
278,969
776,473
355,51
583,55
171,729
622,710
872,667
587,911
816,172
734,20
293,43
866,860
762,472
364,954
673,382
271,565
708,8
959,76
971,950
819,886
227,723
933,13
521,508
901,24
457,90
865,381
543,728
863,971
635,563
506,354
463,500
915,642
894,629
514,237
540,538
725,843
62,218
341,2
547,451
205,805
58,142
115,638
726,262
89,391
240,51
107,946
519,544
670,214
473,871
775,472
155,41
792,563
50,879
36,833
621,995
17,526
696,452
963,495
735,668
425,206
780,525
433,419
430,56
615,426
443,118
85,536
177,555
276,670
400,444
295,783
206,54
799,804
932,189
857,691
671,715
704,60
389,515
408,681
796,512
772,977
779,491
373,172
214,803
687,438
679,768
648,239
603,53
534,123
280,52
237,362
122,827
118,885
911,212
500,63
873,562
365,58
251,349
94,104
192,828
84,994
556,104
542,265
440,245
268,554
477,530
348,576
496,33
233,773
173,500
571,914
66,258
290,990
34,724
497,818
544,357
827,721
611,205
674,190
900,309
973,430
156,16
273,398
870,769
598,520
672,766
319,307
438,286
370,285
180,466
847,490
988,199
882,354
385,354
178,673
446,990
633,621
566,513
860,540
800,834
608,567
913,376
545,536
794,379
134,855
646,156
270,405
488,169
108,588
439,36
852,607
573,519
366,181
564,531
879,909
925,34
299,267
494,313
229,449
103,169
310,261
193,640
530,523
377,270
732,279
208,954
376,337
861,910
407,392
245,217
700,590
588,125
859,448
51,669
61,599
739,469
791,806
951,520
139,853
391,980
283,364
35,119
495,541
398,888
33,929
198,142
928,837
773,915
223,613
539,282
469,98
568,557
5,278
597,711
550,687
232,164
946,120
652,139
1,133
202,130
43,84
300,741
747,562
163,295
428,524
525,620
442,933
527,181
616,349
559,407
839,417
877,519
162,967
581,987
241,202
887,237
57,690
548,786
618,425
808,56
83,731
976,305
11,110
475,276
224,235
998,675
930,601
721,631
698,865
690,810
753,828
321,303
24,602
2,992
53,795
98,454
168,161
868,986
891,823
345,860
919,117
563,941
853,343
806,874
69,130
605,565
876,278
453,793
562,3
431,862
967,431
904,188
305,481
903,527
487,244
917,397
189,109
921,122
723,546
485,611
610,608
684,246
948,694
138,931
104,245
999,376
895,301
689,207
185,82
793,672
975,630
16,446
312,251
357,855
705,206
166,77
752,158
660,114
737,770
54,397
567,875
379,604
676,301
625,108
789,697
949,959
112,773
727,112
3,212
218,889
703,317
235,294
21,153
371,819
460,64
593,187
436,875
323,36
501,300
710,238
56,114
304,228
552,189
286,254
836,614
667,43
681,684
116,508
631,856
406,160
412,433
127,856
960,694
258,927
335,24
535,979
42,654
143,86
349,508
338,136
686,258
619,70
135,876
148,351
920,478
898,651
854,76
294,322
630,625
757,782
445,20
833,481
978,185
8,633
26,773
629,743
14,30
637,582
158,446
125,464
19,603
983,917
181,829
952,179
144,155
67,336
82,550
858,221
848,290
764,430
308,871
399,497
763,614
257,782
350,444
553,928
685,406
579,366
367,442
607,318
472,870
81,233
557,419
302,300
420,917
885,438
526,167
10,380
856,734
718,997
197,375
768,692
826,324
599,438
491,415
982,603
49,590
820,790
590,599
994,342
169,993
777,336
238,375
653,427
531,113
459,976
362,6
330,231
462,449
702,497
164,617
924,319
207,907
634,345
790,676
683,113
284,648
902,63
269,646
922,106
888,639
145,745
712,470
600,776
239,585
881,877
324,368
738,232
174,392
217,161
167,202
699,576
697,7
838,211
761,269
282,662
75,818
828,824
628,630
141,188
695,775
40,81
969,100
717,351
677,502
953,557
9,80
426,889
617,728
244,656
731,467
151,806
1000,523
179,627
444,177
248,186
120,472
432,249
604,251
759,901
454,360
479,75
337,146
246,584
15,895
441,456
509,310
680,72
219,488
47,775
517,116
515,432
259,507
886,753
261,136
802,732
832,75
651,330
784,917
342,743
52,625
44,546
849,583
272,824
423,976
821,72
456,330
7,763
691,278
297,618
354,550
346,553
236,886
645,450
668,20
929,364
706,681
822,711
985,555
231,424
682,394
28,445
285,252
369,251
315,378
926,702
991,359
997,741
209,277
291,803
100,310
18,972
499,57
409,555
159,1000
748,116
812,241
307,535
318,189
830,109
336,671
383,341
449,152
375,329
871,731
714,126
664,795
262,352
809,70
154,454
722,744
896,516
614,974
511,458
303,589
728,749
555,852
111,537
575,560
518,458
507,826
95,349
23,885
140,905
419,47
483,6
981,610
889,178
574,911
352,150
381,172
146,651
741,259
201,633
396,379
549,267
467,640
427,177
87,547
29,881
73,892
109,276
402,845
742,451
170,137
798,713
744,20
228,663
935,13
37,657
195,798
551,603
482,375
213,636
529,318
765,603
875,428
584,811
292,158
41,235
250,246
405,363
478,43
329,194
388,282
720,139
80,548
719,524
106,996
46,752
569,570
510,668
939,65
20,100
374,813
923,618
626,736
395,16
992,662
658,286
814,876
817,940
818,13
70,488
538,219
397,43
663,533
434,744
512,715
199,543
522,742
869,612
675,518
795,719
940,583
580,555
142,252
264,729
110,156
582,351
448,195
602,86
883,182
786,852
437,475
59,93
918,829
317,368
161,649
314,932
480,88
750,688
962,895
404,232
194,375
643,584
254,943
984,206
481,352
707,628
88,485
769,57
316,723
55,22
260,127
745,200
554,5
267,969
326,632
289,982
781,735
965,679
910,673
639,165
914,384
640,731
360,892
493,744
416,532
751,585
558,810
528,560
504,155
91,527
136,756
31,246
417,520
532,902
931,992
815,556
767,9
956,81
413,257
418,438
132,452
688,698
993,877
320,486
152,958
32,36
990,843
390,698
770,143
754,216
989,876
729,88
13,491
309,46
277,186
160,137
783,587
458,158
328,631
659,524
421,889
12,290
572,786
392,133
693,601
200,278
121,447
850,762
358,973
801,359
715,113
196,689
253,192
649,460
187,371
810,957
916,994
837,477
359,46
343,784
654,968
733,416
966,5
692,11
149,22
955,164
215,414
520,138
944,641
186,506
592,615
995,771
464,779
22,72
647,129
804,992
183,502
279,543
255,19
591,826
785,234
71,697
968,625
577,713
713,836
589,299
153,786
263,548
6,91
811,570
38,668
72,860
65,750
596,69
128,681
950,812
851,686
641,916
523,273
899,254
332,810
77,829
424,937
101,105
281,516
972,888
609,373
636,486
974,635
620,733
97,974
382,144
243,447
