1,884,843,4,849.71
2,884,36,15,496.31
3,884,209,5,424.12
4,884,70,4,512.78
5,884,513,8,346.72
6,884,47,3,559.26
7,884,377,5,269.08
8,884,949,11,140.0
9,884,585,2,294.79
10,884,590,10,203.52
11,884,62,14,628.27
12,884,816,3,196.04
13,884,498,5,443.95
14,884,336,10,39.71
15,884,251,14,366.94
16,884,383,12,878.65
17,884,717,6,986.46
18,884,75,11,663.17
19,884,460,6,130.97
20,884,490,4,779.47
21,884,295,2,330.78
22,884,462,13,990.26
23,884,779,13,476.81
24,884,767,6,34.22
25,884,840,9,207.21
26,884,308,12,41.56
27,884,655,6,230.11
28,884,400,9,351.7
29,884,293,11,633.76
30,884,629,5,555.79
31,884,55,6,179.31
32,884,990,13,77.78
33,884,947,3,110.09
34,884,792,10,883.51
35,884,405,2,895.52
36,884,58,9,282.6
37,884,973,13,897.73
38,884,854,6,287.07
39,884,271,2,210.03
40,884,389,2,831.08
41,884,474,2,317.15
42,884,411,12,209.33
43,884,975,6,306.43
44,884,686,13,42.12
45,884,597,3,711.06
46,884,327,1,483.51
47,884,880,1,723.55
48,884,873,15,453.36
49,884,3,12,782.7
50,884,699,12,782.61
51,884,613,7,742.05
52,884,582,6,88.39
53,884,422,5,327.54
54,884,939,14,874.55
55,884,415,3,509.42
56,884,387,9,518.61
57,884,524,14,549.7
58,884,472,14,569.02
59,884,886,9,720.12
60,884,357,11,487.66
61,884,2,7,273.18
62,884,260,4,687.27
63,884,289,1,499.55
64,884,216,3,543.31
65,884,643,8,995.37
66,884,35,12,468.66
67,884,518,6,424.17
68,884,708,13,683.93
69,884,502,3,212.69
70,884,919,3,655.32
71,884,418,8,851.17
72,884,322,10,317.5
73,884,881,9,772.08
74,884,397,9,570.58
75,884,701,6,844.5
76,884,409,1,755.32
77,884,398,7,323.77
78,884,116,10,424.08
79,884,845,10,433.53
80,884,884,5,797.52
81,884,511,3,270.42
82,884,105,5,843.18
83,884,516,14,289.6
84,884,931,11,150.92
85,884,184,12,600.83
86,884,176,1,561.95
87,884,793,14,665.74
88,884,189,6,922.78
89,884,153,6,109.79
90,884,120,10,27.18
91,884,896,1,885.56
92,884,435,8,141.58
93,884,932,6,935.33
94,884,14,1,702.92
95,884,306,7,249.51
96,884,217,15,353.3
97,884,989,2,549.75
98,884,991,14,194.64
99,884,875,8,633.85
100,884,430,10,958.04
101,884,256,14,16.18
102,884,917,2,196.74
103,884,8,10,751.21
104,884,928,9,763.7
105,884,134,9,651.58
106,884,759,6,620.02
107,884,804,9,815.59
108,884,257,3,584.37
109,884,505,15,771.52
110,884,620,11,38.31
111,884,943,10,553.91
112,884,625,8,732.62
113,884,203,15,877.11
114,884,374,3,327.25
115,884,998,13,157.43
116,884,903,12,156.94
117,884,560,12,14.56
118,884,107,7,112.08
119,884,710,8,367.99
120,884,130,2,205.25
121,884,468,15,805.11
122,884,279,7,7.08
123,884,416,6,217.15
124,884,25,8,771.79
125,884,350,7,671.07
126,884,915,15,625.24
127,884,427,3,768.65
128,884,596,6,48.52
129,884,287,15,707.14
130,884,355,15,984.52
131,884,906,3,919.07
132,884,957,2,967.49
133,884,538,9,139.19
134,884,381,6,630.97
135,884,522,1,934.94
136,884,850,11,761.5
137,884,833,1,963.14
138,884,537,8,124.51
139,884,912,13,619.18
140,884,626,2,673.45
141,884,17,13,718.07
142,884,789,2,558.15
143,884,581,1,408.24
144,884,126,14,988.86
145,884,342,6,119.93
146,884,276,3,92.89
147,884,569,6,149.81
148,884,864,12,930.88
149,884,737,15,951.5
150,884,317,5,347.87
151,884,926,6,126.46
152,884,123,7,801.7
153,884,761,8,775.54
154,884,80,3,929.78
155,884,222,7,609.79
156,884,725,11,447.8
157,884,376,4,490.31
158,884,580,4,64.43
159,884,63,2,780.86
160,884,644,7,289.84
161,884,549,4,400.06
162,884,827,6,768.45
163,884,319,14,702.17
164,884,588,10,265.61
165,884,750,10,377.7
166,884,26,11,990.07
